"Term","Estimate","Std_Error","z_value","p_value","Odds_Ratio","OR_CI_2.5","OR_CI_97.5"
"(Intercept)",-1.9391185311947,0.254519538922636,-7.61874133279849,2.56161200730559e-14,0.143830676171107,0.08733817199991,0.23686393857498
"age[10-20)",0.836930274773869,0.27149802584515,3.08263852810191,0.00205174210480911,2.30926726929025,1.35635902509645,3.93163994366169
"age[20-30)",0.770774928213246,0.261452062988328,2.94805449000284,0.00319780693229921,2.16144056624118,1.29477676891001,3.60820910103748
"age[30-40)",0.695042670156361,0.257160264468032,2.70276075347077,0.00687662233282851,2.00379457434481,1.21048101484633,3.31702244556343
"age[40-50)",0.763498399433441,0.255178950418219,2.99201167722543,0.00277145661872694,2.14576986505332,1.30129099789855,3.53827723484327
"age[50-60)",0.778760625498959,0.254695554648921,3.05761373249102,0.00223106959587378,2.17877027912998,1.32255637489894,3.58929117829315
"age[60-70)",0.851609668696491,0.254590167570971,3.34502183183918,0.000822760937674945,2.34341594090283,1.4227933816438,3.85972998112549
"age[70-80)",0.910007580450265,0.254517971975962,3.5754158081073,0.000349671693805081,2.4843413657396,1.50856900390144,4.0912626506067
"age[80-90)",0.860840349291929,0.254790047132849,3.37862628065328,0.000728489660878925,2.36514740877185,1.43542508710471,3.89704925424097
"age[90-100)",0.500334504918521,0.258569023176206,1.93501332360899,0.0529886607188525,1.64927286832536,0.993569298014147,2.73770636797137
"genderMale",-0.0493551913636707,0.0158247050887996,-3.11886958314334,0.00181546298890863,0.951842983241491,0.92277389369181,0.981827803039963
"genderUnknown/Invalid",-8.64830745438718,41.2796664795609,-0.209505264745036,0.834053825908172,0.000175423509321649,1.27870977158261e-39,2.40659829983436e+31
"num_lab_procedures",0.00122702874224752,0.000424266261615741,2.89211953261285,0.00382652332351034,1.00122778185001,1.000395560363,1.00206069565577
"num_medications",0.00366068332692152,0.0012000343294388,3.05048217131709,0.00228474244631818,1.00366739181151,1.0013095159292,1.00603082000167
"num_procedures",-0.0549663970752845,0.00506780456669307,-10.8461951032086,2.07900767006069e-27,0.946516953157026,0.937162007471038,0.955965281852664
"number_diagnoses",0.0759314860970488,0.00445476931987942,17.0449872136374,3.80827427528789e-65,1.07888865275254,1.06950967808867,1.08834987554146
"number_emergency",0.234079506688464,0.0148115062949473,15.8038961080088,2.92468497089191e-56,1.2637449643908,1.22758581397336,1.3009692005595
"number_inpatient",0.363875007379523,0.00820008511722364,44.3745402855919,0,1.43889435174193,1.41595347186548,1.4622069133014
"number_outpatient",0.0860030733858379,0.00720493259718823,11.936693678356,7.61920742501953e-33,1.08980967770561,1.07452818223081,1.10530850028994
"raceAsian",-0.177458004391082,0.100654019088215,-1.76304936453212,0.0778921642498294,0.837396165559213,0.687470570637426,1.02001797319569
"raceCaucasian",0.0405238148127738,0.020664293064026,1.96105497958315,0.0498726097109506,1.04135610910799,1.00002254489543,1.08439809833479
"raceHispanic",-0.0685226523559334,0.0580920197108293,-1.17955362366511,0.238177797249601,0.933772307721273,0.833283866481244,1.04637898048964
"raceOther",-0.210583508592116,0.0675187181420879,-3.11889079631162,0.00181533229222563,0.810111401065978,0.709696571460555,0.924733905345572
"raceUnknown",-0.3938514698341,0.057977303023033,-6.79320094757826,1.09672447760008e-11,0.674454225599195,0.602007788722356,0.755618965319405
"time_in_hospital",0.0148788588142205,0.00307268552471486,4.84229794899082,1.28346118396364e-06,1.01499010006356,1.00889584073536,1.02112117191022
